facet,state,concept,description
textiles,Andhra Pradesh,Pochampally Ikat,"Renowned for its intricate geometric patterns, Pochampally Ikat is a weaving technique where warp and weft threads are tie-dyed before weaving. This craft is predominantly practiced in Pochampally and surrounding villages."
textiles,Andhra Pradesh,Mangalagiri Cotton,"Originating from Mangalagiri town, this fabric is known for its fine texture and durability. Woven using the interlocked weft technique, Mangalagiri Cotton is used to make sarees, salwar suits, and shirts."
textiles,Andhra Pradesh,Venkatagiri Cotton,"Hailing from Venkatagiri town, this textile is celebrated for its soft texture and lightweight nature. Woven using a combination of cotton and silk yarn, Venkatagiri Cotton features intricate designs and is primarily used for sarees and salwar suits."
textiles,Andhra Pradesh,Uppada Silk,"Known for its elaborate jamdani work with gold and silver zari, Uppada Silk originates from Uppada village. The weaving process is meticulous, often taking two weavers up to a month to complete a single piece."
textiles,Andhra Pradesh,Kalamkari,"An ancient textile art form, Kalamkari involves hand-painting or block-printing on fabric using natural dyes. The Srikalahasti style is hand-painted, while the Machilipatnam style employs block-printing."
textiles,Andhra Pradesh,Dharmavaram Silk,"Produced in Dharmavaram, these handloom silk sarees are known for their rich colors and broad borders adorned with gold or silver zari. They are often used in weddings and special occasions."
textiles,Andhra Pradesh,Pedana Kalamkari,"Also known as Machilipatnam style, this form of Kalamkari involves vegetable-dyed block-painting on fabric. It is produced in Pedana town and is known for its intricate designs and natural color palette."
textiles,Andhra Pradesh,Srikalahasti Kalamkari,"This style of Kalamkari is characterized by hand-painted designs using a kalam (pen). Originating from Srikalahasti, it often depicts mythological narratives and uses natural dyes."
textiles,Arunachal Pradesh,Gale,"A traditional wrap-around skirt worn by Adi women, the Gale features vibrant colors and intricate geometric patterns, often symbolizing elements of nature and tribal folklore."
textiles,Arunachal Pradesh,Minyong,"A distinctive cloth used by the Minyong sub-tribe of the Adi community, characterized by a broken stripe pattern and geometric flower-like motifs woven in extra weft."
textiles,Arunachal Pradesh,Apatani Jacket and Scarf,"The Apatani tribe is known for weaving jackets and scarves with simple straight lines and stripes, reflecting their disciplined aesthetic and cultural identity."
textiles,Arunachal Pradesh,Sherdukpen Shawl,"The Sherdukpen community weaves shawls known for their unique patterns and vibrant colors, often incorporating symbolic motifs that represent their heritage."
textiles,Arunachal Pradesh,Monpa Woolen Weave,"Inhabitants of the Tawang district, the Monpa tribe weaves woolen textiles using traditional looms, creating garments and blankets that are integral to their daily life and cultural practices."
textiles,Arunachal Pradesh,Mishmi Shawl,"The Mishmi tribe is renowned for their intricate weaving patterns, producing shawls with complex designs that hold cultural significance within their community."
textiles,Arunachal Pradesh,Tangsa Lungis and Bags,"The Tangsa community weaves lungis and bags featuring distinct patterns and colors, reflecting their tribal identity and craftsmanship."
textiles,Arunachal Pradesh,Wancho Bag,"The Wancho tribe creates woven bags with unique designs, showcasing their weaving skills and cultural motifs."
textiles,Arunachal Pradesh,Tagin Weave,"The Tagin tribe, residing in the Upper Subansiri district, is known for their weaving traditions, producing textiles with straight lines and geometric patterns using traditional looms."
textiles,Arunachal Pradesh,Nyishi Textile,"The Nyishi community weaves textiles featuring distinctive patterns and colors, reflecting their cultural heritage and traditional weaving techniques."
textiles,Assam,Muga Silk,"Known for its natural golden sheen, Muga silk is exclusive to Assam. It is highly durable and was historically reserved for royalty. Muga silk is used to weave traditional garments like Mekhela Chador and is a symbol of Assamese pride."
textiles,Assam,Eri Silk,"Also known as Endi or Errandi, Eri silk is soft, warm, and durable. It is often referred to as 'Ahimsa silk' because its production does not involve killing the silkworm. Eri silk is commonly used to make shawls and winter clothing."
textiles,Assam,Pat Silk,"Pat, or Mulberry silk, is a creamy-bright, white-colored silk produced in Assam. It is known for its glossy texture and is used to weave traditional attire such as Mekhela Chador and Gamosa."
textiles,Assam,Mekhela Chador,"The Mekhela Chador is the traditional attire for Assamese women, consisting of two main pieces: the Mekhela (a cylindrical skirt) and the Chador (a draped upper garment). It is often woven from Muga, Eri, or Pat silk and features intricate designs."
textiles,Assam,Gamosa,"A symbol of Assamese culture, the Gamosa is a white rectangular piece of cloth with red borders and motifs. It holds significant cultural importance and is used in various rituals, as a sign of respect, and during the Bihu festival."
textiles,Assam,Riha,"Part of the traditional three-piece attire worn by Assamese women, the Riha is worn under the Mekhela and over the upper body. It is often adorned with intricate designs and is an essential garment during religious and cultural ceremonies."
textiles,Assam,Dhokona,"Traditional attire of the Rabha tribe in Assam, the Dhokona is a piece of cloth draped around the body. It is handwoven with vibrant colors and patterns, reflecting the tribe's rich cultural heritage."
textiles,Assam,Karbi Shawl,"Woven by the Karbi tribe, these shawls are known for their bright colors and unique patterns. Each design holds cultural significance and showcases the tribe's weaving skills."
textiles,Assam,Miri Jimo,"A traditional textile of the Mising tribe, Miri Jimo is a handwoven fabric used to make garments and accessories. It features distinctive patterns and is an integral part of the tribe's cultural identity."
textiles,Assam,Lasingphee,"A traditional quilt from Assam, Lasingphee is made by stitching together layers of cloth, often with colorful patterns. It is known for its warmth and is used during the colder months."
textiles,Bihar,Bhagalpuri Silk,"Also known as Tussar silk, Bhagalpuri silk originates from Bhagalpur, often referred to as the 'Silk City.' This silk is renowned for its unique dyeing technique and is used to craft sarees and other garments."
textiles,Bihar,Sujani Embroidery,"Sujani is a traditional form of embroidery from Muzaffarpur, where artisans create intricate patterns on quilts and bedspreads, often narrating stories through their stitches."
textiles,Bihar,Madhubani Painting on Textiles,"Originating from the Mithila region, Madhubani art involves painting intricate designs on textiles, depicting mythological and natural themes, and is used in various decorative items."
textiles,Bihar,Bhagalpuri Chadar,"A staple from Bhagalpur, this chadar (sheet) is woven using a cotton-gicha mixed yarn, making it durable and suitable for various seasons."
textiles,Bihar,Alacha Fabric,"Alacha is a lightweight striped cloth made primarily of silk or cotton, produced in regions like Baikunthpur. It is traditionally used for female garments such as dupattas and veils."
textiles,Bihar,Chaapa Sarees,"Chaapa is a traditional block printing technique from Bihar, where artisans use wooden blocks to imprint intricate designs on fabrics, creating unique patterns."
textiles,Bihar,Bawan Buti Weave,"Bawan Buti, meaning '52 motifs,' is a weaving technique where artisans incorporate numerous small motifs into the fabric, resulting in a richly patterned textile."
textiles,Chhattisgarh,Kosa Silk,"Kosa silk, produced from the cocoons of the Antheraea mylitta silkworm, is renowned for its natural texture and durability. The Janjgir-Champa and Raigarh districts are particularly famous for their Kosa silk production, with approximately 4,000 looms dedicated to this craft."
textiles,Chhattisgarh,Aal-Dyed Handloom Fabrics,"Dating back to the 16th century, these textiles are dyed using the roots of the Morinda citrifolia plant, known locally as 'aal'. Predominantly produced in the Bastar region, these fabrics are traditionally used as saris by tribal women and as turbans or shoulder cloths by men."
textiles,Chhattisgarh,Bastar Tribal Weaves,"Woven on manual looms, these textiles feature motifs such as animals, birds, huts, bows, arrows, plants, peacocks, tribal flowers, pitchers, temples, and lions. They are integral to tribal attire during festivals, dances, and marriages in the Bastar region."
textiles,Chhattisgarh,Pata Weaving,"Pata refers to heavy, thick, unbleached, handspun cotton saris. The borders are dyed using madder red extracted from 'aal' trees, and designs are woven using the extra weft technique, depicting motifs like animals, birds, trees, huts, and flowers."
textiles,Chhattisgarh,Cotton Handloom Fabrics,"Regions such as Raipur, Balodabazar, Mahasamund, Durg, Rajnandgaon, Dhamtari, Balod, Bastar, and Sarguja are known for their unique cotton handloom fabrics, each with distinct patterns and weaving techniques."
textiles,Goa,Kunbi Saree,"The Kunbi saree is a traditional garment of Goa's indigenous Kunbi tribe. Characterized by its simple checkered patterns in red and black, it is woven from 100% cotton, making it suitable for the region's climate. Historically, it was worn by tribal women, especially paddy field workers, due to its practicality and comfort."
